TYPE;NUM;PARENT_CODE;NAME;MEASURE_UNIT;UNIT_WEIGHT;ENERGY;FIBER;FAT;CARBOHYDRATE;PRICE
GOODS;962311;49993;Молоко 3,2%;Литр;1000.00;;;0.00;0.00;0.00
DISH;935261;48454;Молоко 3,2% 100г;Штуки;1000.00;;;0.00;0.00;8.00
DISH;935260;48454;Молоко 3,2% 50г;Штуки;1000.00;;;0.00;0.00;4.00
GOODS;893033;46512;Молоко 3,2% кофе;Литр;1000.00;;;0.00;0.00;0.00
GOODS;893035;46512;Молоко Растительное;Литр;1000.00;;;0.00;0.00;0.00
PREPARED;1061305;49995;Морковь очищенная п/ф;Килограммы;800.00;;;0.00;0.00;0.00
PREPARED;1061307;49995;Морковь пассированная п/ф;Килограммы;870.00;;;0.00;0.00;0.00
GOODS;1013576;49993;Морковь свежая;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;962310;49993;Мука;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;962334;49993;Мука рисовая;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1013066;49993;Мускатный орех;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1020748;51052;Мыло жидкое 1 л.;Штуки;0.00;;;0.00;0.00;0.00
GOODS;1160098;54161;Набор суповой;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1068332;48551;Обед Стафф;Штуки;0.00;;;0.00;0.00;99.00
GOODS;1046390;54161;Овощная смесь (зам) СТАФФ;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;962250;49993;Огурцы свежие;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1009743;49993;Огурцы соленые;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1083009;54161;Омлет с сосиской;Килограммы;69.00;;;0.00;0.00;14.63
DISH;1013065;49993;Орегано суш;Килограммы;1000.00;;;0.00;0.00;0.00
DISH;1148685;46543;Основа Torry в асс-те 1 бут;Штуки;0.00;;;0.00;0.00;650.00
GOODS;893043;46512;Основа Torry в ассортименте;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;984985;46512;Основа Znak Банан Нутелла;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;893048;46512;Основа Znak Малина Кокос;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;1086263;46512;Основа Znak Персик Чили;Килограммы;1000.00;;;0.00;0.00;0.00
GOODS;893049;46512;Основа Znak Птичье Молоко;Килограммы;1000.00;;;0.00;0.00;0.00
